id_cliente,valor_compra,data_compra
41,998.51,2021-04-14
59,998.46,2020-12-17
56,997.2,2023-03-26
78,994.32,2020-06-17
80,993.53,2022-02-12
78,993.51,2021-01-11
86,993.29,2020-07-22
82,993.18,2020-04-21
8,990.24,2020-10-31
7,989.56,2021-07-02
3,989.53,2021-08-23
35,988.85,2022-08-14
29,987.84,2020-02-10
20,987.48,2021-01-10
59,986.18,2020-11-07
38,984.03,2022-10-15
75,983.74,2020-01-02
28,982.56,2022-05-11
35,981.92,2021-08-16
20,980.99,2022-11-14
53,976.75,2023-07-08
16,976.14,2023-09-09
62,974.95,2022-06-15
79,969.58,2020-10-14
81,968.11,2023-02-08
93,966.11,2022-01-08
16,964.58,2021-01-24
55,963.83,2020-03-06
4,961.24,2020-09-03
26,961.15,2020-09-10
45,960.03,2020-03-06
5,958.99,2022-04-26
24,957.98,2020-04-21
3,957.87,2021-06-04
44,957.7,2023-12-01
81,957.66,2020-10-13
91,957.24,2023-05-29
5,956.71,2021-06-03
41,956.03,2023-03-18
22,955.5,2020-04-09
99,955.42,2023-02-19
10,953.97,2023-08-05
97,953.39,2021-03-12
99,953.06,2023-07-01
81,952.81,2023-10-06
86,950.33,2022-06-26
74,948.17,2021-11-11
61,945.51,2022-04-15
4,944.76,2023-11-06
61,943.16,2023-01-16
92,942.95,2021-02-01
89,942.14,2021-09-21
91,941.35,2021-03-30
44,939.93,2023-11-14
24,938.12,2020-07-07
77,937.11,2022-10-22
47,936.96,2021-11-21
97,935.79,2023-09-04
58,934.84,2023-07-18
26,932.55,2023-02-15
82,927.97,2022-10-03
49,926.7,2022-02-02
32,926.09,2020-09-15
79,924.34,2020-09-04
1,923.72,2020-04-29
1,923.58,2020-05-07
90,922.65,2023-03-17
62,921.6,2022-01-20
85,920.36,2020-10-28
18,919.81,2021-05-05
51,919.27,2023-12-06
59,917.3,2023-03-27
56,916.14,2020-10-23
38,915.89,2022-12-08
67,912.65,2023-09-26
6,912.65,2021-12-28
21,911.95,2020-10-26
15,911.14,2023-04-10
88,910.43,2023-01-22
50,908.37,2020-04-16
5,907.95,2023-04-17
45,907.63,2020-05-27
54,904.38,2021-10-30
30,903.72,2023-06-08
84,903.66,2023-04-05
3,903.55,2023-09-04
98,903.43,2020-04-05
65,902.39,2023-08-03
59,901.22,2020-01-13
36,901.17,2022-08-19
49,900.89,2020-10-04
89,900.43,2022-05-04
88,898.3,2022-10-01
100,896.64,2020-12-26
90,895.96,2020-10-12
6,895.77,2020-01-05
94,895.59,2022-07-03
12,895.45,2022-03-17
4,895.22,2021-04-17
3,893.63,2021-12-07
99,892.14,2021-12-30
5,891.75,2022-07-12
93,890.79,2023-02-10
10,889.05,2020-11-23
65,888.23,2023-10-20
54,888.08,2022-02-18
75,887.77,2021-11-04
26,887.53,2021-04-29
16,886.67,2021-07-08
86,886.27,2021-05-31
37,885.76,2020-09-29
84,885.69,2021-02-22
53,885.57,2020-06-05
6,885.37,2021-01-11
60,884.88,2023-02-24
89,883.36,2022-11-04
38,882.07,2020-09-20
69,881.93,2020-05-13
57,881.35,2021-06-05
53,881.15,2021-12-12
18,879.76,2023-08-12
79,879.62,2023-07-18
21,878.52,2021-07-11
20,876.28,2023-08-20
98,875.34,2020-09-10
75,874.25,2021-06-02
39,873.78,2021-02-14
52,872.61,2022-01-07
93,871.55,2022-11-14
8,870.43,2022-08-29
26,867.98,2021-09-28
92,867.53,2020-02-01
29,866.93,2020-10-19
78,864.26,2021-02-16
42,863.87,2022-01-15
18,862.74,2023-01-29
